# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
bai le 	白了	c=1 d=1 t=6403
bai piao 	白嫖	c=1 d=1 t=11038
bai se 	白色	c=1 d=1 t=4323
ban 	半	c=0 d=0.1 t=1381
ban 	板	c=4 d=2.03926 t=9126
ban 	版	c=7 d=0.591555 t=12432
ban 	班	c=3 d=1.9802 t=12416
ban 	辦	c=1 d=0.29671 t=12432
ban ben 	版本	c=9 d=0.169483 t=12432
ban ben de 	版本的	c=1 d=1 t=3844
ban ben hao 	版本號	c=1 d=1 t=1949
ban dao ti 	半導體	c=1 d=1 t=5627
ban de 	搬的	c=2 d=1.99005 t=9632
ban fa 	辦法	c=9 d=1.04482 t=11596
ban fa ne 	辦法呢	c=1 d=1 t=3888
ban lv 	伴侶	c=1 d=1 t=3549
ban mao qian 	半毛錢	c=2 d=1.87372 t=1409
ban quan 	版權	c=2 d=1.95123 t=5391
ban si 	半死	c=2 d=1.00009 t=6459
ban zi 	板子	c=4 d=2.98387 t=3058
ban zi de 	板子的	c=1 d=1 t=2956
bang 	幫	c=2 d=0.0200405 t=12432
bang 	棒	c=2 d=1.70117 t=5803
bang 	邦	c=1 d=1 t=3160
bang bang 	棒棒	c=1 d=1 t=2830
bang ni 	幫你	c=2 d=0.00195457 t=12432
bang ni zuo 	幫你做	c=1 d=0.0196437 t=12432
bang ta 	幫她	c=1 d=0.0206508 t=12432
bang wo 	幫我	c=0 d=0.00188734 t=12432
bang zi 	棒子	c=1 d=1 t=8151
bao 	包	c=2 d=0.286505 t=12432
bao 	寶	c=1 d=1 t=3345
bao 	爆	c=1 d=1 t=9341
bao cuo 	報錯	c=1 d=1 t=2688
bao hu 	保護	c=3 d=1 t=9983
bao kuo 	包括	c=1 d=1 t=11826
bao liu 	保留	c=1 d=1 t=11575
bao ming 	報名	c=1 d=1.08825 t=2784
bao ming hao 	報名號	c=1 d=1 t=2760
bao nu 	暴怒	c=1 d=1 t=2696
bao qian 	抱歉	c=5 d=0.826959 t=12432
bao qian le 	抱歉了	c=1 d=1 t=4696
bao ying 	報應	c=1 d=0.226502 t=12432
bao yuan 	抱怨	c=1 d=1 t=2652
bao zha 	爆炸	c=1 d=1 t=5782
bao zhe 	抱着	c=1 d=1 t=3732
bao zheng 	保證	c=1 d=1 t=9444
bei 	北	c=2 d=0.814647 t=12432
bei 	唄	c=1 d=1 t=5680
bei 	背	c=1 d=1 t=2224
bei 	被	c=22 d=0.522046 t=12432
bei fen 	備份	c=1 d=0.153355 t=12432
bei jing 	北京	c=9 d=1.64569 t=12432
bei le 	背了	c=1 d=1 t=3503
bei pan 	背叛	c=1 d=1 t=2025
bei shang 	悲傷	c=1 d=1 t=7317
bei wang 	備忘	c=1 d=1 t=8743
ben 	本	c=6 d=0.0773047 t=12432
ben jiu 	本就	c=1 d=1 t=11432
ben lai 	本來	c=3 d=1.00001 t=10298
ben lai xiang 	本來想	c=1 d=1 t=3384
ben shang 	本上	c=1 d=0.540641 t=12432
ben shen 	本神	c=2 d=1.99005 t=7318
ben shen 	本身	c=1 d=0.25284 t=12432
ben zi 	本子	c=4 d=1 t=10796
beng 	崩	c=2 d=1 t=9072
beng kui 	崩潰	c=1 d=0.159614 t=12432
beng le 	崩了	c=1 d=1 t=8803
bi 	幣	c=3 d=1.65377 t=7760
bi 	必	c=0 d=0.1 t=6814
bi 	比	c=4 d=1.00001 t=10008
bi 	逼	c=2 d=0.140528 t=12432
bi dao 	逼到	c=2 d=1.94649 t=7174
bi ji 	筆記	c=1 d=1 t=4941
bi jiao 	比較	c=6 d=1.18459 t=7461
bi jing 	畢竟	c=20 d=0.576802 t=12432
bi shi 	鄙視	c=1 d=1 t=11462
bi te 	比特	c=0 d=0.1 t=7660
bi te bi 	比特比	c=1 d=1 t=7661
bi wo 	比我	c=0 d=0.1 t=5300
bi wo xiao 	比我小	c=1 d=1 t=5301
bi xu 	必須	c=2 d=0.364219 t=12432
bi yan 	鼻炎	c=1 d=1 t=1900
bi yao 	必要	c=4 d=0.843665 t=12432
bi yao de 	必要的	c=1 d=1 t=2562
bi zhang jia 	必漲價	c=1 d=1 t=6815
bi zhi 	壁紙	c=3 d=2.21308 t=3212
bi zui 	閉嘴	c=1 d=1 t=6008
bian 	便	c=2 d=1 t=6901
bian 	變	c=3 d=0.29523 t=12432
bian a 	變啊	c=1 d=1 t=5242
bian cha 	變差	c=2 d=1.06654 t=5779
bian cheng 	編程	c=6 d=0.773521 t=12432
bian de 	變得	c=2 d=1 t=5254
bian ji 	編輯	c=5 d=2.79913 t=7543
bian ju 	編劇	c=1 d=1 t=7251
bian liang 	變量	c=2 d=1.90484 t=12326
bian nuan 	變暖	c=1 d=1 t=5764
bian yi 	編譯	c=4 d=2.01947 t=10037
biao 	標	c=1 d=1 t=3969
biao 	表	c=1 d=1 t=3981
biao ben 	標本	c=1 d=0.0776922 t=12432
biao da 	表達	c=15 d=0.619365 t=12432
biao ti 	標題	c=1 d=1 t=5010
biao zhun 	標準	c=1 d=1 t=11316
bie 	別	c=8 d=1.91853 t=10676
bie he 	別和	c=1 d=1 t=4976
bie ji 	別急	c=1 d=0.559898 t=12432
bie na 	別拿	c=1 d=1 t=5080
bie ren 	別人	c=7 d=1.00188 t=11690
bie wang 	別忘	c=1 d=1 t=10775
bie wang le 	別忘了	c=2 d=1.27665 t=5879
bing 	並	c=1 d=1 t=1457
bing 	病	c=2 d=1.04807 t=3049
bing bu 	並不	c=3 d=1.10487 t=10835
bing bu dong 	並不懂	c=1 d=1 t=7655
bing bu shi 	並不是	c=1 d=1 t=2100
bing mei 	並沒	c=1 d=1 t=8809
bing qie 	並且	c=1 d=1 t=11150
bing xiang 	冰箱	c=1 d=1 t=3148
bo 	波	c=1 d=1 t=11964
bo dong 	波動	c=1 d=1 t=11250
bo ke 	博客	c=5 d=2.33409 t=11851
bo zi 	脖子	c=2 d=1.99501 t=2091
bu 	不	c=48 d=0.977164 t=12432
bu 	部	c=1 d=1 t=5749
bu ai 	不愛	c=1 d=1 t=8233
bu bao zheng 	不保證	c=1 d=1 t=3144
bu bi 	不比	c=4 d=0.711599 t=12432
bu cun zai 	不存在	c=2 d=1.95123 t=10486
bu cuo 	不錯	c=1 d=1 t=3295
bu da 	不大	c=13 d=1.26814 t=11934
bu da ba 	不大吧	c=1 d=1 t=2327
bu dai 	不帶	c=3 d=1 t=11395
bu dai biao 	不代表	c=2 d=1.11943 t=8694
bu dao 	不到	c=1 d=1 t=1361
bu de 	不得	c=1 d=1 t=7045
bu de bu 	不得不	c=0 d=0.00163259 t=12432
bu de bu shuo 	不得不說	c=9 d=0.184822 t=12432
bu de liao 	不得了	c=1 d=1 t=1858
bu deng lu 	不登錄	c=1 d=1 t=4741
bu deng shi 	不等式	c=1 d=1 t=8974
bu ding 	補丁	c=2 d=1 t=12118
bu dong 	不懂	c=1 d=1 t=10920
bu dui 	不對	c=4 d=2.83436 t=10250
bu duo 	不多	c=1 d=1 t=8091
bu fan dui 	不反對	c=2 d=1.01209 t=11586
bu fan zhi 	不繁殖	c=1 d=1 t=10661
bu fang ai 	不妨礙	c=1 d=1 t=3811
bu gan 	不敢	c=1 d=0.0925506 t=12432
bu gou 	不夠	c=4 d=1.01703 t=8307
bu guan 	不管	c=6 d=1 t=11217
bu guan le 	不管了	c=1 d=1 t=6062
bu guan shi 	不管是	c=1 d=0.923116 t=12432
bu guang 	不光	c=0 d=0.0591555 t=12432
bu guang gui 	不光貴	c=1 d=0.594521 t=12432
bu gui 	不貴	c=1 d=1 t=4356
bu guo 	不過	c=4 d=1.26849 t=11815
bu hao 	不好	c=5 d=1 t=12001
bu hao me 	不好麼	c=2 d=1.00001 t=12096
bu he li 	不合理	c=2 d=1.05313 t=11488
bu he shi 	不合適	c=0 d=0.1 t=5998
bu hua 	不花	c=1 d=1 t=6764
bu hui 	不會	c=9 d=0.310954 t=12432
bu hui yong 	不會用	c=1 d=1 t=11814
bu ji de 	不記得	c=0 d=0.1 t=12412
bu jia 	不加	c=1 d=1 t=3884
bu jian 	不見	c=1 d=1 t=1871
bu jing ri 	不精日	c=1 d=1 t=8440
bu jiu 	不就	c=6 d=1.00094 t=11096
bu jue 	不覺	c=1 d=1 t=3567
bu ka 	不卡	c=0 d=0.1 t=5857
bu ka me 	不卡麼	c=1 d=1 t=5858
bu kai 	不開	c=1 d=0.0428521 t=12432
bu kan 	不看	c=1 d=1 t=11620
bu ke neng 	不可能	c=3 d=1.39045 t=10179
bu ke yi 	不可以	c=4 d=1.00071 t=12311
bu lai 	不來	c=2 d=1.0019 t=7928
bu le 	不了	c=1 d=1.0006 t=5528
bu liao 	不了	c=2 d=1.00014 t=9164
bu liao 	不聊	c=0 d=0.1 t=7505
bu liao le 	不聊了	c=1 d=1 t=7506
bu luo 	部落	c=2 d=0.438235 t=12432
bu man 	不滿	c=2 d=1.9802 t=3923
bu nan 	不難	c=0 d=0.1 t=11297
bu neng 	不能	c=12 d=1.00047 t=9547
bu neng yong 	不能用	c=1 d=1 t=3829
bu qu 	不去	c=1 d=1 t=6377
bu que xin 	不確信	c=1 d=1 t=1785
bu ran 	不染	c=1 d=1 t=3578
bu ran 	不然	c=13 d=0.529199 t=12432
bu rang 	不讓	c=1 d=1.01225 t=8215
bu rang gao 	不讓搞	c=1 d=1 t=7796
bu ren 	不認	c=1 d=1.00316 t=10937
bu ren tong 	不認同	c=2 d=1.8825 t=10272
bu ru 	不如	c=2 d=0.239309 t=12432
bu ru shuo 	不如說	c=2 d=1.61878 t=11541
bu shi 	不是	c=62 d=0.834995 t=12432
bu shi a 	不是啊	c=1 d=1 t=5521
bu shi he 	不適合	c=1 d=1 t=5996
bu shi ma 	不是嗎	c=1 d=1 t=1809
bu shou 	不受	c=1 d=1 t=5390
bu shu 	不熟	c=2 d=1.8781 t=3799
bu shu fu 	不舒服	c=1 d=1 t=9543
bu shuo 	不說	c=4 d=0.100006 t=11407
bu suan 	不算	c=2 d=1.00035 t=5238
bu tai 	不太	c=2 d=0.263158 t=12432
bu tong 	不同	c=2 d=1 t=9068
bu tong yi 	不同意	c=1 d=1 t=9019
bu wan mei 	不完美	c=1 d=1 t=2966
bu wen ding 	不穩定	c=1 d=0.778801 t=12432
bu xi huan 	不喜歡	c=3 d=1 t=8341
bu xiang 	不香	c=5 d=1 t=9203
bu xiao xin 	不小心	c=1 d=1 t=9871
bu xie 	不寫	c=0 d=0.1 t=7244
bu xie le 	不寫了	c=2 d=1.92312 t=7261
bu xing 	不行	c=5 d=1.00044 t=8677
bu xing me 	不行麼	c=1 d=1 t=5977
bu xu 	不許	c=1 d=1 t=10716
bu yao 	不要	c=8 d=0.557655 t=12432
bu yao tai 	不要太	c=2 d=0.382417 t=12432
bu yi 	不宜	c=1 d=1 t=11106
bu yi ding 	不一定	c=1 d=0.1 t=12245
bu yi yang 	不一樣	c=4 d=1.00001 t=9004
bu yi yang de 	不一樣的	c=1 d=1 t=7219
bu ying gai 	不應該	c=1 d=1 t=8473
bu ying li 	不盈利	c=1 d=0.249075 t=12432
bu yong 	不用	c=10 d=1.00218 t=12055
bu yong xin 	不用心	c=1 d=1 t=11282
bu yuan 	不願	c=1 d=1 t=6488
bu yuan yi 	不願意	c=2 d=1.94649 t=6879
bu zai 	不再	c=1 d=1 t=3761
bu zai 	不在	c=4 d=0.273898 t=12432
bu zai le 	不在了	c=1 d=1 t=6991
bu zhan 	不佔	c=1 d=1 t=3879
bu zheng que 	不正確	c=1 d=1 t=9520
bu zhi 	不值	c=2 d=1 t=11132
bu zhi 	不知	c=0 d=0.1 t=7678
bu zhi dao 	不知道	c=21 d=0.744532 t=12432
bu zhi dia 	不知嗲	c=2 d=1.95123 t=7689
bu zhi shi 	不止是	c=1 d=1 t=10163
bu zhi yu 	不至於	c=1 d=1 t=4897
bu zhi yu 	不致於	c=2 d=1.04264 t=5529
bu zhu 	不住	c=0 d=0.00314298 t=12432
bu zhu de 	不住的	c=1 d=0.0315873 t=12432
bu zi ji 	不自己	c=1 d=0.790571 t=12432
bu zuo 	不做	c=1 d=1 t=11346
cai 	才	c=7 d=0.021068 t=12432
cai 	菜	c=1 d=1 t=6814
cai ben 	彩本	c=2 d=1.7827 t=9661
cai bu shi 	纔不是	c=1 d=1 t=11224
cai cai 	才才	c=2 d=0.353581 t=12432
cai ce 	猜測	c=4 d=1.00001 t=11232
cai gou 	菜狗	c=1 d=1 t=3207
cai neng 	才能	c=4 d=0.631284 t=12432
cai piao 	彩票	c=1 d=1 t=7778
cai shi 	纔是	c=6 d=2.49935 t=10808
cai xing 	才行	c=1 d=1 t=8719
cai zhi dao 	才知道	c=3 d=1.86071 t=9679
can 	慘	c=5 d=1.0209 t=6319
can jia 	參加	c=2 d=1.07045 t=7483
cang 	倉	c=1 d=1 t=2811
cao 	操	c=1 d=1 t=6732
cao 	草	c=36 d=2.0658 t=12432
cao shuai 	草率	c=1 d=1 t=7185
cao zuo 	操作	c=1 d=1 t=11428
ce mian 	側面	c=1 d=1 t=1261
ce shi 	測試	c=1 d=0.384812 t=12432
ceng jing 	曾經	c=3 d=0.0291588 t=12432
cha 	差	c=5 d=1.05845 t=8090
cha 	查	c=2 d=1 t=8929
cha bie 	差別	c=1 d=1 t=9383
cha bu duo 	差不多	c=1 d=1 t=11897
cha cha 	查查	c=1 d=1 t=4921
cha de 	差得	c=1 d=1 t=11178
cha dian 	差點	c=1 d=1 t=2379
cha ru 	插入	c=1 d=0.0145524 t=12432
chai fen 	拆分	c=1 d=1 t=7664
chan pin 	產品	c=2 d=1.00681 t=7987
chan shu 	闡述	c=2 d=1 t=10742
chan wu 	產物	c=1 d=1 t=12156
chang 	嚐	c=1 d=1 t=2783
chang 	昌	c=1 d=1 t=4830
chang 	長	c=1 d=1 t=7894
chang ban 	長板	c=1 d=1 t=9121
chang cheng 	長城	c=1 d=1 t=7394
chang he 	場合	c=2 d=1.96561 t=11533
chang hui 	昌輝	c=2 d=0.429557 t=12432
chang jian 	常見	c=1 d=1 t=3648
chang jing 	場景	c=1 d=1 t=1780
chang jiu 	長久	c=1 d=0.0257325 t=12432
chang shi 	嘗試	c=5 d=1.00129 t=11279
chang shi me 	嘗試麼	c=1 d=1 t=5604
chang zhu 	常駐	c=1 d=0.453845 t=12432
chao 	抄	c=3 d=1.01291 t=8203
chao 	超	c=1 d=0.0572688 t=12432
chao feng 	嘲諷	c=1 d=1 t=4444
chao guo 	超過	c=1 d=1 t=10180
chao ji 	超級	c=4 d=2.0419 t=9946
chao xi 	抄襲	c=1 d=1 t=5339
che 	扯	c=1 d=1 t=2988
che di 	徹底	c=1 d=1 t=2934
che hui 	撤回	c=6 d=0.778801 t=12432
che hui xia 	撤回下	c=1 d=1 t=4212
che shang 	扯上	c=1 d=1 t=4978
chen pao 	晨跑	c=1 d=0.0236356 t=12432
chen zhe 	趁着	c=1 d=0.0689068 t=12432
cheng 	成	c=1 d=1 t=4703
cheng dan 	承擔	c=1 d=1 t=8482
cheng du 	程度	c=2 d=1 t=8241
cheng gong 	成功	c=0 d=0.1 t=6619
cheng gong me 	成功麼	c=1 d=1 t=6620
cheng hu 	稱呼	c=1 d=1 t=9806
cheng nian 	成年	c=2 d=1.55433 t=5406
cheng ren 	承認	c=1 d=0.101013 t=6714
cheng ren ba 	承認吧	c=1 d=1 t=6715
cheng wei 	成爲	c=3 d=1.00654 t=9744
cheng xu 	程序	c=1 d=1 t=3357
cheng yin 	成因	c=2 d=1.70117 t=10745
cheng yin 	成癮	c=1 d=1 t=11149
cheng yu 	成語	c=1 d=1 t=5160
chi 	吃	c=6 d=1.00191 t=10445
chi de 	吃得	c=0 d=0.1 t=11794
chi de fan 	吃得飯	c=1 d=1 t=11795
chi fan 	吃飯	c=4 d=0.0591555 t=12432
chi fan le 	吃飯了	c=1 d=1 t=6301
chi fan qu le 	吃飯去了	c=1 d=1 t=6200
chi jiu 	持久	c=1 d=1 t=11695
chi sha 	吃啥	c=1 d=1 t=6373
chi wan fan 	吃完飯	c=1 d=0.0380064 t=12432
chong 	充	c=2 d=0.0559898 t=12432
chong 	重	c=1 d=1 t=4039
chong da hui 	充大會	c=1 d=0.562705 t=12432
chong dian 	充電	c=1 d=0.704688 t=12432
chong dian qi 	充電器	c=1 d=0.701173 t=12432
chong dong 	衝動	c=1 d=1 t=3723
chong fen 	充分	c=1 d=1 t=1958
chong fu 	重複	c=1 d=1 t=10347
chong man 	充滿	c=1 d=1 t=7004
chong man le 	充滿了	c=1 d=1 t=7297
chong ming ming 	重命名	c=1 d=1 t=10949
chong qi 	重啓	c=4 d=1 t=11623
chong tu 	衝突	c=1 d=1 t=12052
chong wu 	寵物	c=3 d=1.90937 t=9029
chong xia 	重下	c=1 d=1 t=4491
chong zhi 	重置	c=1 d=0.657047 t=12432
chong zhuang 	重裝	c=1 d=1 t=4072
chong zi 	蟲子	c=1 d=1 t=2378
chou 	丑	c=1 d=1 t=7901
chou gan 	抽乾	c=1 d=1 t=5788
chu 	出	c=8 d=2.66074 t=10719
chu 	處	c=1 d=1 t=9359
chu 	觸	c=2 d=1.22425 t=4089
chu de 	出的	c=1 d=1 t=7313
chu er 	初二	c=1 d=1 t=7060
chu fei 	除非	c=2 d=0.19205 t=12432
chu ge 	出格	c=2 d=1.12246 t=3225
chu lai 	出來	c=2 d=1.35345 t=6662
chu le 	出了	c=2 d=1 t=9687
chu le 	除了	c=9 d=1.22626 t=9116
chu li 	處理	c=2 d=1 t=11500
chu li qi 	處理器	c=1 d=0.0184074 t=12432
chu mai 	出賣	c=1 d=1 t=2516
chu qu 	出去	c=2 d=0.482893 t=9046
chu qu guo 	出去過	c=1 d=1 t=9047
chu san 	初三	c=1 d=1 t=8316
chu sheng 	出生	c=1 d=1 t=10414
chu shou 	出售	c=1 d=1 t=3145
chu shou 	觸手	c=6 d=3.22918 t=11881
chu wen ti 	出問題	c=1 d=0.164474 t=12432
chu xian 	出現	c=1 d=1 t=10473
chu xie 	出血	c=1 d=1 t=9024
chu yi 	初一	c=1 d=1 t=3652
chu zhong 	初中	c=3 d=1 t=10838
chu zhong 	初衷	c=3 d=2.2124 t=1430
chu zhong me 	初中麼	c=1 d=1 t=5828
chuan 	傳	c=2 d=1.04243 t=5992
chuan bo 	傳播	c=1 d=0.1 t=10140
chuan bo di 	傳播地	c=1 d=1 t=10141
chuan jiao 	傳教	c=1 d=1 t=11007
chuan ran 	傳染	c=1 d=1 t=10391
chuan shuo 	傳說	c=3 d=1.94202 t=7088
chuan tou 	穿透	c=1 d=1 t=3254
chuan xiao 	傳銷	c=4 d=2.53977 t=6185
chuang shang 	創傷	c=0 d=0.1 t=2582
chuang shang xing 	創傷性	c=1 d=1 t=2583
chuang shi ren 	創始人	c=2 d=1.98511 t=7469
chuang xin 	創新	c=1 d=1 t=12041
chuang ye 	創業	c=1 d=0.0713613 t=12432
chuang yi 	創意	c=1 d=1 t=5389
chuang zao 	創造	c=1 d=1 t=5396
chui 	吹	c=1 d=1 t=4447
chui 	捶	c=1 d=1 t=2860
chui bao 	吹爆	c=1 d=1 t=10068
chui de 	吹得	c=1 d=1 t=5129
chui ke 	捶科	c=2 d=1.97045 t=6992
chui zi 	錘子	c=35 d=1.00001 t=11344
chun 	純	c=2 d=1.07692 t=4214
chun 	蠢	c=1 d=1 t=3552
chun bai 	純白	c=1 d=1 t=4307
chun cui 	純粹	c=1 d=1 t=6195
chun ji 	春季	c=1 d=1 t=5147
ci 	次	c=5 d=1 t=12223
ci 	此	c=1 d=1 t=7210
ci 	詞	c=1 d=1 t=11600
ci ci 	此次	c=1 d=0.410656 t=12432
ci shan 	慈善	c=0 d=0.1 t=5664
ci shan me 	慈善麼	c=1 d=1 t=5665
ci yu 	詞語	c=1 d=1 t=11580
cong 	從	c=11 d=0.827117 t=12432
cong na 	從那	c=4 d=1.18825 t=12084
cong ni de 	從你的	c=1 d=0.283654 t=12432
cong wo 	從我	c=3 d=1 t=10790
cong wo zhe yong 	從我這用	c=1 d=1 t=6297
cong xia 	從下	c=1 d=0.304221 t=12432
cong xin 	從新	c=1 d=1 t=10976
cong zhe 	從這	c=5 d=1 t=10890
cong zhuang 	從裝	c=2 d=1 t=8806
cou he 	湊合	c=1 d=1 t=11140
cou qi 	湊齊	c=1 d=1 t=6176
cui 	催	c=2 d=0.040083 t=12432
cui 	崔	c=2 d=1.53526 t=11189
cui mian 	催眠	c=2 d=1.99501 t=11356
cun 	存	c=1 d=1 t=6544
cun 	村	c=2 d=1 t=8405
cun dang 	存檔	c=1 d=0.151829 t=12432
cun zai 	存在	c=3 d=2.39572 t=10507
cun zhe 	存着	c=1 d=1 t=12095
cuo 	錯	c=3 d=0.196008 t=11505
cuo de 	錯的	c=1 d=1 t=10285
cuo jue 	錯覺	c=1 d=1 t=8306
cuo le 	錯了	c=0 d=0.050409 t=12432
cuo wu 	錯誤	c=4 d=1.00066 t=10218
cuo zhe 	錯着	c=1 d=1 t=6924
da 	大	c=6 d=0.0713613 t=12432
da 	打	c=3 d=0.172907 t=12432
da 	搭	c=0 d=0.1 t=11295
da 	答	c=1 d=1 t=11751
da 	達	c=1 d=1 t=2831
da bao zha 	大爆炸	c=1 d=1 t=4339
da bing 	大病	c=1 d=1 t=10564
da bu 	打不	c=1 d=1 t=10050
da bu liao 	大不了	c=1 d=1 t=10590
da chu 	打出	c=1 d=1 t=9023
da dao 	達到	c=1 d=1 t=1399
da dian hua 	打電話	c=1 d=1 t=11797
da dou 	打鬥	c=1 d=1 t=7874
da dun 	打盹	c=1 d=0.19205 t=12432
da duo 	大多	c=3 d=1 t=5281
da duo shu 	大多數	c=2 d=0.353455 t=12432
da duo shu ren 	大多數人	c=1 d=0.918512 t=12432
da gai 	大概	c=3 d=0.755784 t=12432
da gong 	打工	c=0 d=0.1 t=2353
da gong ren 	打工人	c=1 d=1 t=2354
da hui 	大會	c=0 d=0.113974 t=12432
da hui yuan 	大會員	c=2 d=1.27003 t=12432
da jia 	大家	c=11 d=1.07692 t=9404
da jian 	搭建	c=1 d=1 t=11244
da kai 	打開	c=14 d=0.774916 t=12432
da lao 	大佬	c=2 d=1.98511 t=12141
da liu 	大流	c=1 d=1 t=6748
da me 	大麼	c=1 d=1 t=6549
da nao 	大腦	c=5 d=1 t=9575
da quan 	打拳	c=1 d=1 t=8331
da rao 	打擾	c=0 d=0.1 t=2825
da rao le 	打擾了	c=2 d=1 t=10048
da suan 	打算	c=5 d=1.00001 t=10132
da xiao 	大小	c=1 d=1 t=1856
da ye 	大爺	c=1 d=0.219526 t=12432
da yin 	打印	c=2 d=1 t=12072
da ying 	答應	c=0 d=0.1 t=4644
da ying le 	答應了	c=1 d=1 t=4645
da ying wo 	答應我	c=1 d=1 t=8363
da yu 	大於	c=1 d=1 t=11693
da zao 	打造	c=1 d=1 t=10314
da zhan 	大戰	c=1 d=1 t=4606
da zhong 	大衆	c=6 d=4.733 t=10327
da zi 	打字	c=2 d=1.00186 t=3788
dai 	代	c=2 d=1 t=11171
dai 	帶	c=2 d=0.66365 t=12432
dai 	待	c=1 d=1 t=5845
dai biao 	代表	c=1 d=0.1 t=8268
dai bu 	代步	c=1 d=1 t=9117
dai duo 	怠惰	c=2 d=1.01145 t=2168
dai lai 	帶來	c=1 d=1 t=1589
dai li 	代理	c=18 d=0.0789518 t=12432
dai shang 	帶上	c=2 d=1.07189 t=11468
dai shang guo 	帶上過	c=1 d=1 t=11403
dai you 	帶有	c=2 d=1 t=9736
dai zai 	呆在	c=1 d=1 t=10615
dai zhe 	帶着	c=2 d=1 t=5839
dan 	但	c=35 d=0.332674 t=12432
dan 	蛋	c=1 d=1 t=2499
dan bu yi ding 	但不一定	c=1 d=1 t=12246
dan chun 	單純	c=2 d=1.01906 t=2449
dan mu 	彈幕	c=3 d=0.0287246 t=12432
dan ni 	但你	c=1 d=0.154204 t=11298
dan ni yao you 	但你要有	c=1 d=1 t=11299
dan que 	但卻	c=1 d=1 t=7198
dan ru guo 	但如果	c=1 d=1 t=8376
dan shi 	但是	c=63 d=0.831104 t=12432
dan shi a 	但是啊	c=4 d=1.81044 t=4646
dan shi wei shen me 	但是爲什麼	c=1 d=1 t=9681
dan xin 	擔心	c=2 d=1 t=11292
dan ye 	但也	c=1 d=1 t=4315
dan ye shi 	但也是	c=1 d=1 t=2967
dan yuan 	單元	c=1 d=1 t=3167
dan zhe 	但這	c=1 d=1 t=11563
dang 	當	c=10 d=0.985132 t=12432
dang 	黨	c=1 d=1 t=5011
dang chu 	當初	c=1 d=1 t=4585
dang dang 	噹噹	c=1 d=0.182684 t=12432
dang ge 	當個	c=1 d=1 t=11952
dang nian 	當年	c=2 d=1.00726 t=7945
dang ran 	當然	c=14 d=2.00862 t=10620
dang sha zi 	當傻子	c=1 d=0.444858 t=12432
dang shi 	當時	c=1 d=1 t=8948
dang wo 	當我	c=2 d=1.00461 t=3564
dang zhe xie 	當這些	c=1 d=0.380983 t=12432
dao 	倒	c=1 d=1 t=3469
dao 	到	c=16 d=1.49939 t=12432
dao 	道	c=1 d=1 t=2396
dao bi 	倒閉	c=1 d=0.952144 t=4379
dao bi le 	倒閉了	c=1 d=1 t=4380
dao de 	道德	c=1 d=1 t=10642
dao di 	到底	c=5 d=1.65377 t=9951
dao hang 	導航	c=2 d=0.0186856 t=12432
dao jia 	到家	c=1 d=1 t=8674
dao jian 	刀劍	c=4 d=2.26337 t=9614
